,Balance Sheet as at 19-10-2012

AccNo,AccName,Amount

03010201,COOLING PLANT,10435048
030210,BUILDINGS,1981263
030420,CATERING UNIT,13579
03060101,FURNITURE &FITTINGS,143251
030701,COMPUTERS,383081
030902,SCALES AND SOFTWARE,75400
040111,CFC STANBIC BANK-0100001880483,-834630.2
040201,CURRENT ACCOUNT - 01136182624400,30686757.6
04030103,PETTY CASH ,-1662144
040401,KCC  DEBTORS(MILK),192447.4
040402,DEBTOR (TRANSPORT),1167894.8
040412,DIRECTORS (ABRAHAM RUGUT),278500
040413,DIRECTORS (WILLY MARU),75613
04060212,INSURANCE PREPAYMENT,296649
041201,COOP RESERVER 01136182624401,158236.53
070102,RETAIN EARNINGS,15900036.74
030202,LAND,2118700
030519,MISTUBISHI KBQ 201C,6425433
030604,MOTOR VEHICLE,1035250
040414,DIRECTORS (PRISCAH KOSGEI),10000
040415,CFC LOAN-TANKER,4406837.8
040416,K-REP LOAN ,666648
040417,FINA BANK LOAN,6439040.14
060101,FARMERS CREDITORS,21502253.85
060211,DESLEY HOLDING KENYA LTD,640861
060222,AMTECH TECHNOLOGIES INTERNATIONAL,60000
060223,OLHEFA PRINTERS ELDORET,27020
070101,SHARE CAPITAL,3258368
011111,MAIN CASH,-809528.5
030101,GENERATOR KABIYET,1785825
030103,WEIGHING SCALES AND LAB EQUIPMENT,509957
03010410,WATER PUMP   ,132740
030203,KIMAIYO KEINO (KOISOLIK),300000
030901,EASYMA SOFTWARE ,595359
040110,FINA BANK AC CA 1711800254,37454.9
040403,BUZEKI MILK,-10628701.16
040406,BUZEKI TRANSPORT,-747831.6
040420,AGROVET ,376383
040421,FSA,704160
060102,TRANSPORTERS,628122.9
,Net Income,0
,Total ,98765335.2
